phase_name,phase_idx,step,state,action,action_name,reward,next_state
pre-drug,0,1,3,2,as4,0.0,3
pre-drug,0,2,3,1,as3,0.0,2
pre-drug,0,3,2,1,as3,0.0,2
pre-drug,0,4,2,1,as3,0.0,2
pre-drug,0,5,2,0,as2,0.0,1
pre-drug,0,6,1,3,as5,0.0,1
pre-drug,0,7,1,8,aw,0.0,1
pre-drug,0,8,1,6,ag,0.0,0
pre-drug,0,9,0,7,ad,0.0,0
pre-drug,0,10,0,1,as3,0.0,0
pre-drug,0,11,0,3,as5,0.0,0
pre-drug,0,12,0,8,aw,0.0,0
pre-drug,0,13,0,5,as7,0.0,0
pre-drug,0,14,0,2,as4,0.0,0
pre-drug,0,15,0,6,ag,1.0,3
pre-drug,0,16,3,1,as3,0.0,2
pre-drug,0,17,2,0,as2,0.0,1
pre-drug,0,18,1,6,ag,0.0,0
pre-drug,0,19,0,6,ag,1.0,3
pre-drug,0,20,3,1,as3,0.0,2
pre-drug,0,21,2,0,as2,0.0,1
pre-drug,0,22,1,6,ag,0.0,0
pre-drug,0,23,0,6,ag,1.0,3
pre-drug,0,24,3,1,as3,0.0,2
pre-drug,0,25,2,0,as2,0.0,1
pre-drug,0,26,1,6,ag,0.0,0
pre-drug,0,27,0,6,ag,1.0,3
pre-drug,0,28,3,1,as3,0.0,2
pre-drug,0,29,2,0,as2,0.0,1
pre-drug,0,30,1,6,ag,0.0,0
pre-drug,0,31,0,6,ag,1.0,3
pre-drug,0,32,3,2,as4,0.0,3
pre-drug,0,33,3,1,as3,0.0,2
pre-drug,0,34,2,0,as2,0.0,1
pre-drug,0,35,1,6,ag,0.0,0
pre-drug,0,36,0,6,ag,1.0,3
pre-drug,0,37,3,1,as3,0.0,2
pre-drug,0,38,2,0,as2,0.0,1
pre-drug,0,39,1,2,as4,0.0,1
pre-drug,0,40,1,6,ag,0.0,0
pre-drug,0,41,0,6,ag,1.0,3
pre-drug,0,42,3,1,as3,0.0,2
pre-drug,0,43,2,5,as7,0.0,2
pre-drug,0,44,2,4,as6,0.0,2
pre-drug,0,45,2,0,as2,0.0,1
pre-drug,0,46,1,6,ag,0.0,0
pre-drug,0,47,0,6,ag,1.0,3
pre-drug,0,48,3,1,as3,0.0,2
pre-drug,0,49,2,0,as2,0.0,1
pre-drug,0,50,1,7,ad,0.0,1
addiction,1,1,1,5,as7,0.0,1
addiction,1,2,1,6,ag,0.0,0
addiction,1,3,0,6,ag,1.0,3
addiction,1,4,3,1,as3,0.0,2
addiction,1,5,2,7,ad,0.0,2
addiction,1,6,2,0,as2,0.0,1
addiction,1,7,1,6,ag,0.0,0
addiction,1,8,0,6,ag,1.0,3
addiction,1,9,3,1,as3,0.0,2
addiction,1,10,2,6,ag,0.0,2
addiction,1,11,2,5,as7,0.0,2
addiction,1,12,2,0,as2,0.0,1
addiction,1,13,1,6,ag,0.0,0
addiction,1,14,0,6,ag,1.0,3
addiction,1,15,3,1,as3,0.0,2
addiction,1,16,2,0,as2,0.0,1
addiction,1,17,1,6,ag,0.0,0
addiction,1,18,0,6,ag,1.0,3
addiction,1,19,3,0,as2,0.0,3
addiction,1,20,3,1,as3,0.0,2
addiction,1,21,2,3,as5,0.0,2
addiction,1,22,2,4,as6,0.0,2
addiction,1,23,2,0,as2,0.0,1
addiction,1,24,1,6,ag,0.0,0
addiction,1,25,0,6,ag,1.0,3
addiction,1,26,3,1,as3,0.0,2
addiction,1,27,2,0,as2,0.0,1
addiction,1,28,1,6,ag,0.0,0
addiction,1,29,0,6,ag,1.0,3
addiction,1,30,3,4,as6,0.0,3
addiction,1,31,3,1,as3,0.0,2
addiction,1,32,2,0,as2,0.0,1
addiction,1,33,1,6,ag,0.0,0
addiction,1,34,0,6,ag,1.0,3
addiction,1,35,3,1,as3,0.0,2
addiction,1,36,2,0,as2,0.0,1
addiction,1,37,1,6,ag,0.0,0
addiction,1,38,0,6,ag,1.0,3
addiction,1,39,3,1,as3,0.0,2
addiction,1,40,2,6,ag,0.0,2
addiction,1,41,2,2,as4,0.0,3
addiction,1,42,3,4,as6,0.0,3
addiction,1,43,3,1,as3,0.0,2
addiction,1,44,2,0,as2,0.0,1
addiction,1,45,1,6,ag,0.0,0
addiction,1,46,0,6,ag,1.0,3
addiction,1,47,3,1,as3,0.0,2
addiction,1,48,2,0,as2,0.0,1
addiction,1,49,1,6,ag,0.0,0
addiction,1,50,0,6,ag,1.0,3
addiction,1,51,3,1,as3,0.0,2
addiction,1,52,2,0,as2,0.0,1
addiction,1,53,1,6,ag,0.0,0
addiction,1,54,0,6,ag,1.0,3
addiction,1,55,3,1,as3,0.0,2
addiction,1,56,2,7,ad,0.0,2
addiction,1,57,2,0,as2,0.0,1
addiction,1,58,1,6,ag,0.0,0
addiction,1,59,0,6,ag,1.0,3
addiction,1,60,3,1,as3,0.0,2
addiction,1,61,2,0,as2,0.0,1
addiction,1,62,1,6,ag,0.0,0
addiction,1,63,0,6,ag,1.0,3
addiction,1,64,3,1,as3,0.0,2
addiction,1,65,2,0,as2,0.0,1
addiction,1,66,1,6,ag,0.0,0
addiction,1,67,0,6,ag,1.0,3
addiction,1,68,3,1,as3,0.0,2
addiction,1,69,2,0,as2,0.0,1
addiction,1,70,1,6,ag,0.0,0
addiction,1,71,0,6,ag,1.0,3
addiction,1,72,3,1,as3,0.0,2
addiction,1,73,2,0,as2,0.0,1
addiction,1,74,1,6,ag,0.0,0
addiction,1,75,0,6,ag,1.0,3
addiction,1,76,3,1,as3,0.0,2
addiction,1,77,2,0,as2,0.0,1
addiction,1,78,1,6,ag,0.0,0
addiction,1,79,0,6,ag,1.0,3
addiction,1,80,3,1,as3,0.0,2
addiction,1,81,2,0,as2,0.0,1
addiction,1,82,1,6,ag,0.0,0
addiction,1,83,0,6,ag,1.0,3
addiction,1,84,3,1,as3,0.0,2
addiction,1,85,2,0,as2,0.0,1
addiction,1,86,1,6,ag,0.0,0
addiction,1,87,0,6,ag,1.0,3
addiction,1,88,3,1,as3,0.0,2
addiction,1,89,2,4,as6,0.0,2
addiction,1,90,2,0,as2,0.0,1
addiction,1,91,1,6,ag,0.0,0
addiction,1,92,0,6,ag,1.0,3
addiction,1,93,3,1,as3,0.0,2
addiction,1,94,2,0,as2,0.0,1
addiction,1,95,1,6,ag,0.0,0
addiction,1,96,0,6,ag,1.0,3
addiction,1,97,3,3,as5,0.0,4
addiction,1,98,4,2,as4,0.0,3
addiction,1,99,3,1,as3,0.0,2
addiction,1,100,2,3,as5,0.0,2
addiction,1,101,2,0,as2,0.0,1
addiction,1,102,1,6,ag,0.0,0
addiction,1,103,0,6,ag,1.0,3
addiction,1,104,3,1,as3,0.0,2
addiction,1,105,2,5,as7,0.0,2
addiction,1,106,2,6,ag,0.0,2
addiction,1,107,2,0,as2,0.0,1
addiction,1,108,1,6,ag,0.0,0
addiction,1,109,0,6,ag,1.0,3
addiction,1,110,3,7,ad,0.0,3
addiction,1,111,3,1,as3,0.0,2
addiction,1,112,2,0,as2,0.0,1
addiction,1,113,1,6,ag,0.0,0
addiction,1,114,0,6,ag,1.0,3
addiction,1,115,3,1,as3,0.0,2
addiction,1,116,2,0,as2,0.0,1
addiction,1,117,1,6,ag,0.0,0
addiction,1,118,0,6,ag,1.0,3
addiction,1,119,3,6,ag,0.0,3
addiction,1,120,3,1,as3,0.0,2
addiction,1,121,2,0,as2,0.0,1
addiction,1,122,1,6,ag,0.0,0
addiction,1,123,0,6,ag,1.0,3
addiction,1,124,3,1,as3,0.0,2
addiction,1,125,2,0,as2,0.0,2
addiction,1,126,2,0,as2,0.0,1
addiction,1,127,1,6,ag,0.0,0
addiction,1,128,0,6,ag,1.0,3
addiction,1,129,3,1,as3,0.0,2
addiction,1,130,2,0,as2,0.0,1
addiction,1,131,1,1,as3,0.0,2
addiction,1,132,2,1,as3,0.0,2
addiction,1,133,2,4,as6,0.0,2
addiction,1,134,2,6,ag,0.0,2
addiction,1,135,2,0,as2,0.0,1
addiction,1,136,1,6,ag,0.0,0
addiction,1,137,0,6,ag,1.0,3
addiction,1,138,3,5,as7,0.0,3
addiction,1,139,3,1,as3,0.0,2
addiction,1,140,2,0,as2,0.0,1
addiction,1,141,1,4,as6,0.0,1
addiction,1,142,1,6,ag,0.0,0
addiction,1,143,0,6,ag,1.0,3
addiction,1,144,3,6,ag,0.0,3
addiction,1,145,3,3,as5,0.0,4
addiction,1,146,4,2,as4,0.0,3
addiction,1,147,3,0,as2,0.0,3
addiction,1,148,3,1,as3,0.0,2
addiction,1,149,2,0,as2,0.0,1
addiction,1,150,1,8,aw,0.0,1
addiction,1,151,1,6,ag,0.0,0
addiction,1,152,0,6,ag,1.0,3
addiction,1,153,3,3,as5,0.0,4
addiction,1,154,4,6,ag,0.0,4
addiction,1,155,4,2,as4,0.0,3
addiction,1,156,3,5,as7,0.0,3
addiction,1,157,3,1,as3,0.0,2
addiction,1,158,2,8,aw,0.0,2
addiction,1,159,2,0,as2,0.0,1
addiction,1,160,1,6,ag,0.0,0
addiction,1,161,0,6,ag,1.0,3
addiction,1,162,3,2,as4,0.0,3
addiction,1,163,3,3,as5,0.0,4
addiction,1,164,4,7,ad,0.0,4
addiction,1,165,4,4,as6,0.0,5
addiction,1,166,5,4,as6,0.0,5
addiction,1,167,5,5,as7,0.0,6
addiction,1,168,6,1,as3,0.0,6
addiction,1,169,6,1,as3,0.0,6
addiction,1,170,6,7,ad,10.0,7
addiction,1,171,7,8,aw,-1.2,21
addiction,1,172,21,0,as2,-1.2,21
addiction,1,173,21,5,as7,-1.2,21
addiction,1,174,21,3,as5,-1.2,21
addiction,1,175,21,2,as4,-1.2,21
addiction,1,176,21,4,as6,-1.2,21
addiction,1,177,21,1,as3,-1.2,21
addiction,1,178,21,6,ag,-1.2,21
addiction,1,179,21,8,aw,-1.2,20
addiction,1,180,20,4,as6,-1.2,20
addiction,1,181,20,8,aw,-1.2,19
addiction,1,182,19,0,as2,-1.2,19
addiction,1,183,19,7,ad,-1.2,20
addiction,1,184,20,1,as3,-1.2,20
addiction,1,185,20,0,as2,-4.0,3
addiction,1,186,3,3,as5,0.0,4
addiction,1,187,4,2,as4,0.0,3
addiction,1,188,3,3,as5,0.0,4
addiction,1,189,4,4,as6,0.0,5
addiction,1,190,5,7,ad,0.0,5
addiction,1,191,5,5,as7,0.0,6
addiction,1,192,6,7,ad,10.0,7
addiction,1,193,7,3,as5,-1.2,7
addiction,1,194,7,0,as2,-1.2,7
addiction,1,195,7,4,as6,-1.2,7
addiction,1,196,7,7,ad,-1.2,8
addiction,1,197,8,2,as4,-1.2,8
addiction,1,198,8,6,ag,-1.2,8
addiction,1,199,8,0,as2,-1.2,8
addiction,1,200,8,8,aw,-1.2,9
addiction,1,201,9,4,as6,-1.2,9
