condition_name,volatility_interval,beta_type,fixed_beta,num_agents,mean_total_reward,std_total_reward,sem_total_reward,ci_95_lower,ci_95_upper,mean_reward_per_step,mean_recovery_speed
Adaptive_β_vol200,200,adaptive,,5000,-3378.106652348621,5409.266568097201,76.49858143094428,-3528.077427800628,-3228.1358768966143,-0.4222633315435778,0.08121539465328369
Fixed_β=0.0_vol200,200,fixed,0.0,5000,-3774.1415318108543,5217.865084877063,73.79175569666182,-3918.8057414835957,-3629.477322138113,-0.4717676914763568,0.04166365578667259
Fixed_β=0.2_vol200,200,fixed,0.2,5000,-3483.0656789688974,5739.5964937295,81.17015203981322,-3642.194781983139,-3323.936575954656,-0.4353832098711122,0.045337989745375305
Fixed_β=0.4_vol200,200,fixed,0.4,5000,-3603.8619436850877,5671.050749537833,80.2007688290251,-3761.0906303894753,-3446.6332569807,-0.4504827429606359,0.054897114055839476
Fixed_β=0.6_vol200,200,fixed,0.6,5000,-3568.7185437729618,5530.121611641181,78.20772984755516,-3722.039999833773,-3415.3970877121506,-0.44608981797162034,0.07085454076962262
Fixed_β=0.8_vol200,200,fixed,0.8,5000,-3403.915627935277,5362.748099796714,75.84071094323058,-3552.5966886586716,-3255.234567211882,-0.42548945349190964,0.09066890078544906
Fixed_β=1.0_vol200,200,fixed,1.0,5000,-6597.271128514023,3003.3502527062024,42.473786599337735,-6680.538381233419,-6514.003875794627,-0.8246588910642532,0.14339819604796883
Adaptive_β_vol1000,1000,adaptive,,5000,-3404.86379440701,5336.271234707333,75.46627152624531,-3552.8107896265137,-3256.9167991875065,-0.4256079743008762,0.08301805079616005
Fixed_β=0.0_vol1000,1000,fixed,0.0,5000,-3760.5997923522978,5235.821147620873,74.045692771253,-3905.761830079888,-3615.4377546247074,-0.4700749740440373,0.05037475932721447
Fixed_β=0.2_vol1000,1000,fixed,0.2,5000,-3469.85836320899,5716.711771778849,80.84651319827573,-3628.352992130721,-3311.363734287259,-0.4337322954011238,0.04287864317265056
Fixed_β=0.4_vol1000,1000,fixed,0.4,5000,-3617.9830236930243,5651.613557418894,79.92588542193454,-3774.672818342826,-3461.2932290432227,-0.452247877961628,0.044890728484613125
Fixed_β=0.6_vol1000,1000,fixed,0.6,5000,-3590.972576515888,5542.428746955888,78.38177902431535,-3744.635245309239,-3437.3099077225365,-0.4488715720644859,0.05339709206552919
Fixed_β=0.8_vol1000,1000,fixed,0.8,5000,-3498.2700322263277,5355.026388446334,75.73150945406618,-3646.7370101300917,-3349.8030543225636,-0.43728375402829095,0.09684106430008789
Fixed_β=1.0_vol1000,1000,fixed,1.0,5000,-6551.58547566908,3113.4015021074015,44.030146293930535,-6637.903876081862,-6465.267075256297,-0.8189481844586349,0.15548552565890836
Adaptive_β_vol500,500,adaptive,,5000,-3316.69970918286,5377.061439530561,76.04313213497517,-3465.777604233454,-3167.6218141322656,-0.4145874636478575,0.09344253601945965
Fixed_β=0.0_vol500,500,fixed,0.0,5000,-3817.483368136704,5242.155943070044,74.13528030764378,-3962.821036732894,-3672.145699540514,-0.4771854210170881,0.04403524142780825
Fixed_β=0.2_vol500,500,fixed,0.2,5000,-3506.2878733110815,5748.022562345444,81.28931464495477,-3665.6505873016795,-3346.9251593204835,-0.4382859841638852,0.05397902624347141
Fixed_β=0.4_vol500,500,fixed,0.4,5000,-3580.5421260791363,5668.031731831994,80.15807347117867,-3737.687111153969,-3423.3971410043036,-0.44756776575989204,0.05822163294484777
Fixed_β=0.6_vol500,500,fixed,0.6,5000,-3472.5615917325563,5537.759724094304,78.31574906977653,-3626.0948128511927,-3319.02837061392,-0.43407019896656956,0.07471100563218062
Fixed_β=0.8_vol500,500,fixed,0.8,5000,-3352.0499348576723,5349.431959629611,75.65239228300278,-3500.361808401669,-3203.7380613136756,-0.41900624185720897,0.09449152362177532
Fixed_β=1.0_vol500,500,fixed,1.0,5000,-6564.224462398438,3045.0922199208944,43.06410716088924,-6648.649002360618,-6479.7999224362575,-0.8205280577998048,0.1635493329787862
