condition_a,condition_b,t_statistic,p_value,cohens_d,mean_difference,ci_95_lower,ci_95_upper,significant
Adaptive_β_vol50,Fixed_β=0.0_vol50,0.18544583586431881,0.8529738292777381,0.018544583586431882,23.174995396220993,-222.50700708734348,268.85699787978547,False
Adaptive_β_vol50,Fixed_β=0.2_vol50,-1.2975337292602773,0.1951991567078268,-0.12975337292602776,-176.91531810985975,-444.9663936145933,91.13575739487379,False
Adaptive_β_vol50,Fixed_β=0.4_vol50,-1.8111934250177366,0.07086467053749812,-0.18111934250177367,-244.50080073624906,-509.8918218022372,20.890220329739066,False
Adaptive_β_vol50,Fixed_β=0.6_vol50,-2.6135552987476256,0.009300321314888295,-0.26135552987476257,-348.8837696165358,-611.3176156370016,-86.44992359606994,True
Adaptive_β_vol50,Fixed_β=0.8_vol50,-2.2787929032747853,0.023208367061448406,-0.2278792903274785,-301.7210319658237,-562.0194320191877,-41.42263191245985,True
Adaptive_β_vol50,Fixed_β=1.0_vol50,1.3587809631766459,0.17498555219554593,0.13587809631766462,166.00873959025898,-74.17979421686644,406.1972733973844,False
Adaptive_β_vol100,Fixed_β=0.0_vol100,2.493205174474509,0.01306493749304494,0.2493205174474509,311.7135492624649,65.92115891854573,557.505939606384,True
Adaptive_β_vol100,Fixed_β=0.2_vol100,-0.3061903770920659,0.7596198028483188,-0.030619037709206594,-42.07984122362211,-312.2599221046175,228.10023965737327,False
Adaptive_β_vol100,Fixed_β=0.4_vol100,0.08072167159936022,0.9357038763241047,0.008072167159936023,11.015673650388521,-257.2664199600189,279.2977672607959,False
Adaptive_β_vol100,Fixed_β=0.6_vol100,-0.7429178552330187,0.4579696860663025,-0.07429178552330186,-99.26877291434005,-361.9582220194111,163.420676190731,False
Adaptive_β_vol100,Fixed_β=0.8_vol100,-0.9789664510725585,0.3281912360944844,-0.09789664510725585,-132.1214502352551,-397.4453034051232,133.20240293461296,False
Adaptive_β_vol100,Fixed_β=1.0_vol100,1.2715489003396445,0.20427599068407132,0.12715489003396444,161.09525193283855,-87.97418918875718,410.1646930544343,False
Adaptive_β_vol200,Fixed_β=0.0_vol200,-1.0385305777269291,0.2996536187104277,-0.10385305777269292,-126.25913410664225,-365.268154016406,112.74988580312149,False
Adaptive_β_vol200,Fixed_β=0.2_vol200,-0.8409845196526822,0.4008615768498919,-0.08409845196526822,-112.27015080566468,-374.72045283881,150.18015122748062,False
Adaptive_β_vol200,Fixed_β=0.4_vol200,-1.9992146663147272,0.04626458293337017,-0.1999214666314727,-264.4656546736453,-524.5298851544067,-4.401424192884008,True
Adaptive_β_vol200,Fixed_β=0.6_vol200,-2.4943577989026244,0.013023250234867575,-0.24943577989026247,-323.8015433952844,-579.0075763908956,-68.59551039967317,True
Adaptive_β_vol200,Fixed_β=0.8_vol200,-3.248909289603572,0.0012568705741657531,-0.3248909289603572,-419.2947201842261,-673.0134802824823,-165.57596008596985,True
Adaptive_β_vol200,Fixed_β=1.0_vol200,0.29735463126251216,0.7663509161918955,0.029735463126251215,35.79769254253142,-200.87660632829926,272.4719914133621,False
