condition_name,volatility_interval,beta_type,fixed_beta,num_agents,mean_total_reward,std_total_reward,sem_total_reward,ci_95_lower,ci_95_upper,mean_reward_per_step,mean_recovery_speed
Adaptive_β_vol50,50,adaptive,,200,-1034.964831120847,1326.2471098368858,93.77983248947218,-1219.8945855170737,-850.0350767246204,-0.5174824155604236,0.06942742375497381
Fixed_β=0.0_vol50,50,fixed,0.0,200,-1058.139826517068,1168.1278900355676,82.59911523372836,-1221.0216923514286,-895.2579606827076,-0.529069913258534,0.040803251128706065
Fixed_β=0.2_vol50,50,fixed,0.2,200,-858.0495130109873,1399.7106643465002,98.97449024585377,-1053.2229067650464,-662.8761192569281,-0.4290247565054937,0.042676448563554244
Fixed_β=0.4_vol50,50,fixed,0.4,200,-790.464030384598,1373.230196550656,97.10203841111044,-981.9450304893434,-598.9830302798526,-0.395232015192299,0.05452180182888117
Fixed_β=0.6_vol50,50,fixed,0.6,200,-686.0810615043113,1343.4992358744616,94.99974202057767,-873.4164244837937,-498.74569852482887,-0.3430405307521555,0.08325164315204486
Fixed_β=0.8_vol50,50,fixed,0.8,200,-733.2437991550233,1321.8268875003491,93.46727557062044,-917.55720488967,-548.9303934203767,-0.3666218995775117,0.0881474236598843
Fixed_β=1.0_vol50,50,fixed,1.0,200,-1200.973570711106,1107.4308351251934,78.30718532121057,-1355.3919372670175,-1046.5552041551946,-0.6004867853555531,0.12726923229807233
Adaptive_β_vol100,100,adaptive,,200,-930.9078948216137,1370.4406615959156,96.90478850282504,-1121.9999266788632,-739.8158629643643,-0.4654539474108069,0.08935493179532532
Fixed_β=0.0_vol100,100,fixed,0.0,200,-1242.6214440840786,1117.2081265466697,78.99854422778687,-1398.4031403602382,-1086.839747807919,-0.6213107220420393,0.017903547928402996
Fixed_β=0.2_vol100,100,fixed,0.2,200,-888.8280535979916,1378.1548946488167,97.45026715316102,-1080.9957456495192,-696.6603615464638,-0.44441402679899583,0.0772747187608168
Fixed_β=0.4_vol100,100,fixed,0.4,200,-941.9235684720022,1358.832356553753,96.08395738148553,-1131.3969570278025,-752.4501799162019,-0.47096178423600116,0.08728094113865263
Fixed_β=0.6_vol100,100,fixed,0.6,200,-831.6391219072736,1301.0609836066867,91.99890442455276,-1013.0569635510451,-650.2212802635022,-0.4158195609536368,0.06456999904377361
Fixed_β=0.8_vol100,100,fixed,0.8,200,-798.7864445863586,1328.4352911678436,93.9345602752308,-984.0213154522892,-613.551573720428,-0.39939322229317925,0.09729233098509417
Fixed_β=1.0_vol100,100,fixed,1.0,200,-1092.0031467544522,1154.1542729958785,81.61103129708155,-1252.9365540036745,-931.0697395052301,-0.5460015733772261,0.08731448455529497
Adaptive_β_vol200,200,adaptive,,200,-1071.889679543977,1275.109587764062,90.16386362639514,-1249.688900476857,-894.0904586110972,-0.5359448397719886,0.053273129314759644
Fixed_β=0.0_vol200,200,fixed,0.0,200,-945.6305454373348,1153.33486954137,81.55309072316048,-1106.4496963926358,-784.8113944820338,-0.4728152727186674,0.033432845100323405
Fixed_β=0.2_vol200,200,fixed,0.2,200,-959.6195287383124,1392.2873627344197,98.44958355498426,-1153.7578293081913,-765.4812281684335,-0.4798097643691561,0.04791001739955215
Fixed_β=0.4_vol200,200,fixed,0.4,200,-807.4240248703318,1368.9220855967042,96.7974089641461,-998.3043089435647,-616.5437407970988,-0.4037120124351658,0.06796337832863682
Fixed_β=0.6_vol200,200,fixed,0.6,200,-748.0881361486927,1320.7608514421977,93.39189543804963,-932.2528955376099,-563.9233767597755,-0.3740440680743464,0.09563202191076826
Fixed_β=0.8_vol200,200,fixed,0.8,200,-652.594959359751,1305.8488071047077,92.33745467081026,-834.6804073771872,-470.5095113423148,-0.3262974796798755,0.12455335372819872
Fixed_β=1.0_vol200,200,fixed,1.0,200,-1107.6873720865085,1128.1450697957841,79.77190290147699,-1264.9940980603033,-950.3806461127136,-0.5538436860432543,0.1388590347727829
