Volatility,Rank,Condition,Beta_Type,Mean_Reward,Std_Reward,Recovery_Speed
50,1,Fixed β=0.6,fixed,-686.0810615043113,1343.4992358744616,0.08325164315204486
50,2,Fixed β=0.8,fixed,-733.2437991550233,1321.8268875003491,0.0881474236598843
50,3,Adaptive β,adaptive,-778.3071249395766,1343.577256976955,0.04123389320028735
50,4,Fixed β=0.4,fixed,-790.464030384598,1373.230196550656,0.05452180182888117
50,5,Fixed β=0.2,fixed,-858.0495130109873,1399.7106643465002,0.042676448563554244
50,6,Fixed β=0.0,fixed,-1058.139826517068,1168.1278900355676,0.040803251128706065
50,7,Fixed β=1.0,fixed,-1200.973570711106,1107.4308351251934,0.12726923229807233
100,1,Fixed β=0.8,fixed,-798.7864445863586,1328.4352911678436,0.09729233098509417
100,2,Fixed β=0.6,fixed,-831.6391219072736,1301.0609836066867,0.06456999904377361
100,3,Adaptive β,adaptive,-867.4175382203044,1347.284987209147,0.0647897382014985
100,4,Fixed β=0.2,fixed,-888.8280535979916,1378.1548946488167,0.0772747187608168
100,5,Fixed β=0.4,fixed,-941.9235684720022,1358.832356553753,0.08728094113865263
100,6,Fixed β=1.0,fixed,-1092.0031467544522,1154.1542729958785,0.08731448455529497
100,7,Fixed β=0.0,fixed,-1242.6214440840786,1117.2081265466697,0.017903547928402996
200,1,Adaptive β,adaptive,-515.2233353162559,1290.4475583043793,0.06031338851656454
200,2,Fixed β=0.8,fixed,-652.594959359751,1305.8488071047077,0.12455335372819872
200,3,Fixed β=0.6,fixed,-748.0881361486927,1320.7608514421977,0.09563202191076826
200,4,Fixed β=0.4,fixed,-807.4240248703318,1368.9220855967042,0.06796337832863682
200,5,Fixed β=0.0,fixed,-945.6305454373348,1153.33486954137,0.033432845100323405
200,6,Fixed β=0.2,fixed,-959.6195287383124,1392.2873627344197,0.04791001739955215
200,7,Fixed β=1.0,fixed,-1107.6873720865085,1128.1450697957841,0.1388590347727829
